Format Version,1.22,Take Name,KB2T_tran_002,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 06.04.26.622 PM,Total Frames in Take,1439,Total Exported Frames,361,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.433333,5.603528,43.795933,-10.076842,-15.224327,161.135727,-7.582493,-0.353192,0.109448,0.183006,-2.643758,156.756195,175.581055,172.572327,15.828067,163.791443,19.106300,14.011572,-10.559775,-12.608469,163.819672,-11.558133,17.945866,11.504827,-12.934342,-17.636469,163.448029,-6.517377,-82.046265,100.973404,179.978531,21.121054,13.635224,-7.540491,-20.876251,161.966187,-3.266388,78.710083,211.672211,176.008575,18.282827,16.923479,-11.204051,-10.085143,155.425247,-9.469372,79.961380,102.146675,179.674820,-80.186272,210.730286,177.007507,18.744370,164.101242,-4.963702,4.392347,167.616196,-1.664066,,,,-20.876251,161.966187,-3.266388,,,,,,,,,,,,,,,
27,0.450000,5.606589,43.784721,-10.085959,-15.223365,161.132126,-7.566277,-0.353626,0.109705,0.182927,-2.643750,156.755875,175.580719,172.524139,15.866101,163.873184,19.106703,14.007775,-10.557796,-12.606194,163.814896,-11.540919,17.947712,11.504367,-12.932144,-17.635393,163.444824,-6.501735,-82.045738,100.973846,179.978226,21.120090,13.632597,-7.537147,-20.874842,161.963684,-3.250659,78.710167,211.671783,176.007462,18.283424,16.915672,-11.203670,-10.084402,155.421204,-9.452266,79.960907,102.146736,179.672668,-80.185669,210.729858,177.005356,18.745047,164.097656,-4.945845,4.392085,167.613678,-1.647270,,,,-20.874842,161.963684,-3.250659,,,,,,,,,,,,,,,
28,0.466667,5.605722,43.776733,-10.099940,-15.222711,161.130203,-7.551527,-0.351993,0.109415,0.182244,-2.643335,156.756485,175.583481,172.525818,15.880164,163.878784,19.106632,14.006011,-10.556004,-12.603867,163.811844,-11.527306,17.948450,11.503087,-12.930735,-17.634432,163.443558,-6.487704,-82.045273,100.975250,179.976517,21.119026,13.630401,-7.534929,-20.873373,161.962585,-3.235245,78.711235,211.671402,176.012207,18.283838,16.914120,-11.201903,-10.085299,155.418427,-9.435511,79.959984,102.145699,179.676865,-80.185684,210.731598,177.014420,18.745316,164.092224,-4.931289,4.392145,167.610336,-1.630259,,,,-20.873373,161.962585,-3.235245,,,,,,,,,,,,,,,
29,0.483333,5.588917,43.776203,-10.103239,-15.221750,161.126572,-7.537195,-0.355492,0.108543,0.182503,-2.644143,156.756836,175.578964,172.523132,15.887724,163.880081,19.107407,14.005221,-10.555419,-12.602917,163.806503,-11.513209,17.949142,11.501794,-12.930218,-17.633379,163.440384,-6.474155,-82.046783,100.975502,179.975937,21.119066,13.629527,-7.534163,-20.872324,161.960556,-3.221989,78.710175,211.672165,176.005585,18.285044,16.913561,-11.201439,-10.084434,155.414047,-9.419643,79.961487,102.146111,179.677338,-80.187080,210.731842,177.003448,18.745718,164.086838,-4.914844,4.393032,167.607407,-1.616544,,,,-20.872324,161.960556,-3.221989,,,,,,,,,,,,,,,
30,0.500000,5.581329,43.773388,-10.108456,-15.221122,161.122894,-7.524669,-0.353708,0.109577,0.183292,-2.644603,156.757004,175.580200,172.524658,15.896909,163.878708,19.106791,14.004236,-10.555120,-12.601812,163.802292,-11.502266,17.949736,11.501477,-12.930076,-17.632633,163.437073,-6.462183,-82.045753,100.976410,179.973892,21.118017,13.628472,-7.533504,-20.871902,161.956970,-3.207779,78.708961,211.673431,176.007050,18.283913,16.912212,-11.201322,-10.083936,155.409378,-9.405422,79.960251,102.148376,179.673340,-80.186935,210.729294,177.007111,18.747652,164.083023,-4.900497,4.394749,167.604797,-1.604712,,,,-20.871902,161.956970,-3.207779,,,,,,,,,,,,,,,
31,0.516667,5.567573,43.786972,-10.115361,-15.220661,161.120163,-7.511096,-0.352490,0.109634,0.182873,-2.644270,156.757111,175.580032,172.520416,15.917162,163.885574,19.105333,14.003313,-10.553381,-12.601802,163.798401,-11.490721,17.949036,11.500537,-12.928638,-17.631765,163.434845,-6.448771,-82.044792,100.978455,179.969543,21.115211,13.627501,-7.531162,-20.870701,161.955536,-3.193939,78.709694,211.672928,176.007980,18.283203,16.911472,-11.199867,-10.084336,155.405685,-9.391350,79.959343,102.147629,179.671906,-80.186371,210.729477,177.008759,18.747837,164.079803,-4.888004,4.394891,167.602249,-1.593906,,,,-20.870701,161.955536,-3.193939,,,,,,,,,,,,,,,
32,0.533333,5.574492,43.785751,-10.137686,-15.222020,161.120026,-7.498751,-0.352867,0.109642,0.182686,-2.643871,156.756866,175.580307,172.522720,15.922558,163.874496,19.103163,14.002930,-10.552770,-12.602117,163.796997,-11.479467,17.947969,11.500160,-12.927951,-17.632465,163.435547,-6.436755,-82.045975,100.976456,179.973602,21.112047,13.626644,-7.530388,-20.871729,161.956619,-3.179938,78.710289,211.672424,176.007874,18.280830,16.911463,-11.199471,-10.087517,155.404083,-9.378386,79.960899,102.145638,179.675766,-80.186661,210.730392,177.010574,18.747974,164.074936,-4.879564,4.395830,167.600113,-1.583731,,,,-20.871729,161.956619,-3.179938,,,,,,,,,,,,,,,
33,0.550000,5.577576,43.813431,-10.160938,-15.223402,161.120285,-7.485009,-0.351520,0.109134,0.182294,-2.643512,156.756729,175.582428,172.525040,15.928796,163.874008,19.100426,14.002585,-10.552013,-12.604356,163.796097,-11.468286,17.945362,11.499743,-12.927469,-17.632740,163.436630,-6.422311,-82.046219,100.975098,179.975204,21.109190,13.626339,-7.529368,-20.871603,161.959244,-3.165799,78.710999,211.671707,176.012009,18.278070,16.911131,-11.198718,-10.091002,155.402420,-9.365720,79.958939,102.147171,179.673721,-80.184830,210.731171,177.012390,18.746761,164.067871,-4.876161,4.396506,167.596344,-1.576310,,,,-20.871603,161.959244,-3.165799,,,,,,,,,,,,,,,
34,0.566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.583333,5.588550,43.835327,-10.206088,-15.227302,161.123581,-7.461265,-0.351477,0.108289,0.182292,-2.643724,156.758041,175.580017,172.564514,15.997131,163.806320,19.099379,14.010363,-10.544198,-12.608886,163.796432,-11.446470,17.944559,11.502151,-12.922649,-17.634953,163.441574,-6.398338,-82.045586,100.975052,179.973557,21.108284,13.638028,-7.519392,-20.873205,161.965927,-3.141141,78.710770,211.673019,176.010834,18.275934,16.919685,-11.190293,-10.098653,155.402252,-9.342265,79.958565,102.147888,179.672241,-80.185776,210.733871,177.008469,18.744337,164.051636,-4.862201,4.397983,167.589264,-1.558465,,,,-20.873205,161.965927,-3.141141,,,,,,,,,,,,,,,
