Format Version,1.22,Take Name,BJS2 stand10min,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 03.47.42.947 PM,Total Frames in Take,76769,Total Exported Frames,19193,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8455,140.916667,3.856104,-3.220083,6.661524,-3.999709,157.010529,-21.820539,-0.043711,0.864248,0.369310,1.748231,155.790253,174.676758,-9.599710,-26.670603,-5.382895,19.143934,8.293045,-14.431289
8456,140.933333,3.850713,-3.204684,6.644736,-3.997601,157.026932,-21.807341,-0.044924,0.863808,0.369291,1.748026,155.790405,174.674530,-9.553637,-26.386337,-5.214149,19.169603,8.318256,-14.485678
8457,140.950000,3.862257,-3.201971,6.635844,-3.993390,157.045502,-21.795998,-0.045218,0.865471,0.369210,1.748325,155.789810,174.677063,-9.533230,-26.159943,-5.017357,19.201759,8.345871,-14.537361
8458,140.966667,3.886907,-3.215603,6.626026,-3.986917,157.065506,-21.786230,-0.042858,0.864411,0.369511,1.748562,155.789734,174.677277,-9.526685,-25.864174,-4.867962,19.232626,8.367061,-14.598678
8459,140.983333,3.907639,-3.229295,6.627168,-3.975486,157.086807,-21.776543,-0.044170,0.863494,0.369217,1.748486,155.790009,174.675842,-9.515759,-25.522081,-4.623686,19.275923,8.407741,-14.666644
8460,141.000000,3.925830,-3.245812,6.627590,-3.959978,157.109039,-21.767593,-0.046992,0.865236,0.369886,1.747239,155.789490,174.674683,-9.518511,-25.213648,-4.444762,19.307510,8.437373,-14.737566
8461,141.016667,3.922586,-3.265844,6.610612,-3.939607,157.131058,-21.757898,-0.044166,0.865105,0.369267,1.747884,155.789337,174.677261,-9.544300,-24.951792,-4.323591,19.335844,8.469187,-14.792240
8462,141.033333,3.928744,-3.305155,6.623168,-3.914886,157.149780,-21.746193,-0.043735,0.864624,0.369115,1.748574,155.790634,174.675018,-9.447408,-24.815676,-4.101194,19.347153,8.494189,-14.819442
8463,141.050000,3.949113,-3.367281,6.621357,-3.887531,157.165298,-21.734192,-0.045784,0.864145,0.369615,1.748431,155.789597,174.672668,-9.416962,-24.680925,-4.030309,19.347057,8.506531,-14.836717
8464,141.066667,,,,,,,,,,,,,,,,,,
8465,141.083333,3.954322,-3.448581,6.612642,-3.824857,157.192383,-21.707668,-0.046404,0.864144,0.369931,1.747607,155.789871,174.672913,-9.364242,-24.495680,-3.894927,19.341040,8.526107,-14.851337
8466,141.100000,3.946775,-3.488350,6.608799,-3.789986,157.205399,-21.691706,-0.047097,0.863349,0.369495,1.747506,155.789795,174.673325,-9.359173,-24.402758,-3.875741,19.337324,8.533235,-14.852461
8467,141.116667,3.937239,-3.521584,6.608522,-3.754656,157.214493,-21.674568,-0.045574,0.863207,0.369203,1.748260,155.790543,174.673584,-9.358121,-24.395309,-3.868613,19.335028,8.535141,-14.850025
8468,141.133333,,,,,,,,,,,,,,,,,,
8469,141.150000,3.882341,-3.581568,6.608764,-3.676788,157.220856,-21.635515,-0.042980,0.866095,0.369375,1.748152,155.790344,174.676117,-9.364651,-24.454250,-3.876017,19.339252,8.529184,-14.839919
8470,141.166667,3.860332,-3.619078,6.602240,-3.633539,157.219589,-21.615459,-0.043841,0.865434,0.369346,1.747240,155.790237,174.674988,173.031647,24.413544,-178.476883,19.346865,8.524961,-14.844234
8471,141.183333,3.833904,-3.662196,6.597066,-3.586014,157.216934,-21.594885,-0.044809,0.865676,0.369038,1.747833,155.789642,174.674408,-9.398199,-24.503859,-3.840194,19.355675,8.522184,-14.852971
8472,141.200000,3.818856,-3.689988,6.589718,-3.534298,157.212173,-21.573683,-0.043909,0.865705,0.369657,1.747669,155.790222,174.673248,-9.409371,-24.477369,-3.798525,19.363808,8.515898,-14.864117
8473,141.216667,3.801398,-3.752172,6.587080,-3.478483,157.204819,-21.550707,-0.043123,0.864878,0.369076,1.748218,155.790497,174.675293,-9.583629,-24.483393,-3.892560,19.375233,8.507330,-14.876869
8474,141.233333,3.773145,-3.786636,6.569243,-3.420873,157.199066,-21.531872,-0.041816,0.864408,0.369069,1.748388,155.791245,174.677002,-9.647102,-24.539682,-3.857185,19.386295,8.499964,-14.885128
8475,141.250000,3.747788,-3.839716,6.546966,-3.362921,157.191284,-21.514742,-0.043730,0.863952,0.369527,1.748732,155.790451,174.674850,-9.727953,-24.658545,-3.837771,19.399147,8.486626,-14.893818
8476,141.266667,3.736160,-3.861924,6.538474,-3.307544,157.185181,-21.500961,-0.043873,0.865063,0.370050,1.748502,155.788879,174.676926,-9.892356,-24.722279,-3.901631,19.415123,8.470158,-14.904411
8477,141.283333,3.765111,-3.879126,6.544205,-3.251213,157.178757,-21.488327,-0.045038,0.863250,0.369942,1.749062,155.789520,174.674423,-10.040257,-24.797207,-3.954372,19.434294,8.456319,-14.919038
8478,141.300000,3.762707,-3.894218,6.559129,-3.197236,157.173889,-21.480528,-0.043315,0.863932,0.369271,1.748964,155.790146,174.676010,-10.152819,-24.850273,-3.940361,19.451717,8.441617,-14.937772
8479,141.316667,3.757038,-3.899973,6.558095,-3.142054,157.168427,-21.473255,-0.043939,0.864253,0.369087,1.749067,155.790268,174.675919,-10.349749,-24.916307,-4.036036,19.467726,8.428719,-14.954862
8480,141.333333,3.758510,-3.909126,6.568745,-3.086597,157.158691,-21.464073,-0.045303,0.862637,0.369455,1.748650,155.790085,174.673645,-10.515828,-25.048962,-4.081111,19.478325,8.410812,-14.969768
