Format Version,1.22,Take Name,BJS2 stand,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 03.26.29.198 PM,Total Frames in Take,82631,Total Exported Frames,20659,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
50,0.833333,9.443974,1.120938,3.386642,-2.750287,159.239914,-25.234873,-0.041204,0.861307,0.369669,1.751573,155.790466,174.677795,-9.133660,-5.044925,-8.196701,17.194168,8.411478,-22.138866
51,0.850000,9.432671,1.117689,3.401550,-2.741723,159.235748,-25.241625,-0.042992,0.862899,0.369245,1.750954,155.790955,174.677658,-9.133912,-5.048271,-8.200390,17.195759,8.411227,-22.138845
52,0.866667,9.416168,1.113874,3.411743,-2.732675,159.231995,-25.247950,-0.043140,0.863798,0.369891,1.751174,155.790482,174.677124,-9.138515,-5.047804,-8.207487,17.196503,8.410687,-22.138912
53,0.883333,9.407390,1.102379,3.419021,-2.722628,159.228500,-25.253317,-0.042005,0.862098,0.369409,1.751474,155.790253,174.677582,-9.139786,-5.051724,-8.207235,17.196037,8.409010,-22.138948
54,0.900000,9.394826,1.089742,3.426561,-2.712482,159.225235,-25.257275,-0.045437,0.863604,0.369726,1.750978,155.790298,174.676956,-9.143229,-5.056577,-8.209234,17.195776,8.407780,-22.138924
55,0.916667,9.381117,1.081649,3.423715,-2.702411,159.221573,-25.259363,-0.047967,0.862455,0.369686,1.750295,155.791138,174.674042,-9.151988,-5.062859,-8.207555,17.196444,8.407407,-22.139290
56,0.933333,9.369711,1.068262,3.424328,-2.692143,159.218292,-25.259840,-0.046750,0.861835,0.370135,1.750516,155.790298,174.675888,-9.158270,-5.064119,-8.200715,17.196503,8.406628,-22.140396
57,0.950000,9.355607,1.053577,3.422440,-2.681549,159.216080,-25.259069,-0.046976,0.861905,0.369946,1.750492,155.790146,174.673126,-9.172019,-5.063141,-8.192823,17.195820,8.405163,-22.141930
58,0.966667,9.355027,1.043197,3.421512,-2.670549,159.213089,-25.257021,-0.044552,0.863085,0.369729,1.749672,155.790329,174.674850,-9.174133,-5.058627,-8.213078,17.193920,8.404377,-22.144464
59,0.983333,9.338024,1.035944,3.416465,-2.659759,159.209686,-25.253714,-0.046740,0.861979,0.370165,1.749883,155.788666,174.675507,-9.170024,-5.039625,-8.189328,17.191372,8.401910,-22.149076
60,1.000000,9.335379,1.020221,3.414020,-2.650243,159.206039,-25.248283,-0.043857,0.863030,0.369491,1.749856,155.790543,174.675781,-9.187709,-5.023942,-8.173573,17.188738,8.400044,-22.154848
61,1.016667,9.325384,1.008332,3.404839,-2.641034,159.201828,-25.240379,-0.046737,0.862488,0.369756,1.749631,155.789490,174.675720,-9.190465,-5.062082,-8.134299,17.185375,8.396062,-22.161671
62,1.033333,9.308823,0.999716,3.402370,-2.632383,159.197708,-25.230335,-0.049374,0.861839,0.370634,1.748642,155.788528,174.671432,-9.214908,-5.050782,-8.120780,17.184935,8.395772,-22.166891
63,1.050000,9.279361,0.994504,3.409386,-2.622468,159.195587,-25.217741,-0.048788,0.861217,0.369844,1.748890,155.789597,174.671280,-9.228564,-5.042687,-8.097185,17.182793,8.394988,-22.172022
64,1.066667,9.274090,0.981665,3.417377,-2.612730,159.196060,-25.204107,-0.083636,0.920167,0.358753,1.696177,155.795944,174.705338,-9.298079,-5.019681,-8.128660,17.180344,8.392336,-22.178488
65,1.083333,9.288770,0.975265,3.427948,-2.603052,159.196167,-25.188824,-0.076260,0.917127,0.360433,1.691658,155.789780,174.702026,-9.310925,-5.010008,-8.115529,17.180397,8.392841,-22.183126
66,1.100000,9.294701,0.962528,3.433729,-2.592175,159.193970,-25.168804,-0.076348,0.916486,0.360545,1.692425,155.789703,174.701279,-9.322476,-5.008181,-8.104989,17.181124,8.393577,-22.186909
67,1.116667,9.289231,0.947667,3.435608,-2.584101,159.189148,-25.144899,-0.077354,0.916621,0.360401,1.692051,155.789597,174.702423,-9.316085,-4.999425,-8.044057,17.181166,8.395936,-22.190350
68,1.133333,9.241194,0.945263,3.437575,-2.575191,159.183792,-25.116301,-0.075662,0.916707,0.360424,1.692268,155.789154,174.703949,-9.324407,-4.993845,-8.038360,17.181007,8.397016,-22.192900
69,1.150000,9.219373,0.936753,3.430655,-2.568767,159.183426,-25.088051,-0.075881,0.917731,0.360580,1.691758,155.789764,174.702988,-9.324686,-4.986905,-8.027205,17.180624,8.398389,-22.194670
70,1.166667,9.237511,0.931617,3.426010,-2.560944,159.186523,-25.061485,-0.072499,0.916934,0.359896,1.693300,155.791107,174.704086,-9.320761,-4.990211,-8.026364,17.179901,8.399061,-22.194252
71,1.183333,9.280583,0.917537,3.420531,-2.552857,159.193100,-25.035984,-0.075697,0.916603,0.360298,1.692506,155.790253,174.702652,-9.316195,-4.990719,-8.026154,17.179197,8.398882,-22.193216
72,1.200000,9.288064,0.908344,3.411608,-2.543525,159.199387,-25.008492,-0.076316,0.916001,0.360253,1.691990,155.790207,174.702606,-9.302534,-4.995343,-8.028064,17.178883,8.399205,-22.191452
73,1.216667,9.298887,0.894441,3.394003,-2.537313,159.206329,-24.983795,-0.079342,0.916585,0.361357,1.691558,155.790207,174.699432,-9.308896,-5.005972,-8.084875,17.179752,8.398466,-22.189247
74,1.233333,9.339605,0.896590,3.377249,-2.533879,159.213287,-24.958988,-0.076395,0.917181,0.360858,1.692268,155.790604,174.701813,-9.293674,-5.015550,-8.084801,17.179810,8.399359,-22.187166
75,1.250000,9.373540,0.908007,3.358227,-2.533602,159.220367,-24.934574,-0.074156,0.918336,0.360554,1.692270,155.790268,174.704773,-9.282991,-5.022759,-8.092859,17.179249,8.400043,-22.184319
76,1.266667,9.417604,0.942575,3.342312,-2.538413,159.226089,-24.909527,-0.077126,0.916862,0.360587,1.692478,155.789963,174.700775,-9.266079,-5.037928,-8.103884,17.178394,8.400135,-22.180614
77,1.283333,9.415592,0.996937,3.327176,-2.549555,159.228317,-24.882822,-0.076130,0.916366,0.360997,1.691808,155.790527,174.701157,-9.252194,-5.048461,-8.114501,17.177355,8.400924,-22.176565
78,1.300000,9.411023,1.045827,3.303360,-2.566844,159.227753,-24.855547,-0.077528,0.916431,0.360874,1.691850,155.791443,174.699722,-9.181870,-5.059310,-8.069013,17.177675,8.405016,-22.171560
